,Termin,"Dzień, godzina",Przedmiot,Typ,Nauczyciel,Sala
0,2026-02-23,Pn 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
1,2026-02-23,Pn 13:15 - 15:45 (3g.),Computer Programming 2,ćwiczenia,dr Katarzyna Wójcik,"Paw.A 013 lab. Win10, Office21"
2,2026-02-23,Pn 13:15 - 15:45 (3g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
3,2026-02-23,Pn 18:30 - 20:00 (2g.),,lektorat,,Wybierz swoją grupę językową
4,2026-02-24,Wt 09:45 - 11:15 (2g.),Probability and Statistics,wykład,prof. dr hab. Andrzej Sokołowski,Paw.F 008
5,2026-02-24,Wt 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
6,2026-02-24,Wt 13:15 - 14:45 (2g.),Probability and Statistics,ćwiczenia,prof. dr hab. Andrzej Sokołowski,"Paw.A 07 lab. Win7, Office21"
7,2026-02-24,Wt 13:15 - 14:45 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
8,2026-02-24,Wt 15:00 - 16:30 (2g.),Discrete mathematics,wykład,dr Grzegorz Kosiorowski,Rakowicka 16 sala 11
9,2026-02-24,Wt 18:30 - 20:00 (2g.),Business Law,wykład,dr Jacek Lachner,Rakowicka 16 sala 11
10,2026-02-25,Śr 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
11,2026-02-26,Cz 08:00 - 09:30 (2g.),Operating Systems and Computer Networks,wykład,prof. UEK dr hab. Joanna Wyrobek,Paw.F 008
12,2026-02-26,Cz 09:45 - 11:15 (2g.),Information Systems,Przeniesienie zajęć,dr Agnieszka Niklewicz,
13,2026-02-26,Cz 09:45 - 11:15 (2g.),CS gr 1 Zajęcia przeniesione na 17.03.2026r.,CS gr 1 Zajęcia przeniesione na 17.03.2026r.,CS gr 1 Zajęcia przeniesione na 17.03.2026r.,CS gr 1 Zajęcia przeniesione na 17.03.2026r.
14,2026-02-26,Cz 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
15,2026-02-26,Cz 15:00 - 16:30 (2g.),Operating Systems and Computer Networks,ćwiczenia,prof. UEK dr hab. Joanna Wyrobek,"Paw.A 07 lab. Win7, Office21"
16,2026-02-26,Cz 15:00 - 16:30 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
17,2026-03-02,Pn 09:45 - 11:15 (2g.),Computer Programming 2,wykład,dr Katarzyna Wójcik,Paw.F 008
18,2026-03-02,Pn 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
19,2026-03-02,Pn 13:15 - 15:45 (3g.),Computer Programming 2,ćwiczenia,dr Katarzyna Wójcik,"Paw.A 013 lab. Win10, Office21"
20,2026-03-02,Pn 13:15 - 15:45 (3g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
21,2026-03-02,Pn 18:30 - 20:00 (2g.),,lektorat,,Wybierz swoją grupę językową
22,2026-03-03,Wt 09:45 - 11:15 (2g.),Probability and Statistics,wykład,prof. dr hab. Andrzej Sokołowski,Paw.F 008
23,2026-03-03,Wt 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
24,2026-03-03,Wt 15:00 - 16:30 (2g.),Discrete mathematics,wykład,dr Grzegorz Kosiorowski,Paw.C sala D
25,2026-03-03,Wt 18:30 - 20:00 (2g.),Business Law,wykład,dr Jacek Lachner,Rakowicka 16 sala 11
26,2026-03-04,Śr 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
27,2026-03-04,Śr 13:15 - 14:45 (2g.),Information Systems,wykład,prof. UEK dr hab. Mariusz Grabowski,Paw.F 008
28,2026-03-05,Cz 11:30 - 14:45 (4g.),,rezerwacja,,
29,2026-03-05,Cz 11:30 - 14:45 (4g.),11.30 - 14.45 Targi Pracy,11.30 - 14.45 Targi Pracy,11.30 - 14.45 Targi Pracy,11.30 - 14.45 Targi Pracy
30,2026-03-05,Cz 15:00 - 16:30 (2g.),Operating Systems and Computer Networks,ćwiczenia,prof. UEK dr hab. Joanna Wyrobek,"Paw.A 07 lab. Win7, Office21"
31,2026-03-05,Cz 15:00 - 16:30 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
32,2026-03-09,Pn 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
33,2026-03-09,Pn 13:15 - 15:45 (3g.),Computer Programming 2,ćwiczenia,dr Katarzyna Wójcik,"Paw.A 013 lab. Win10, Office21"
34,2026-03-09,Pn 13:15 - 15:45 (3g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
35,2026-03-09,Pn 18:30 - 20:00 (2g.),,lektorat,,Wybierz swoją grupę językową
36,2026-03-10,Wt 09:45 - 11:15 (2g.),Probability and Statistics,wykład,prof. dr hab. Andrzej Sokołowski,Paw.F 008
37,2026-03-10,Wt 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
38,2026-03-10,Wt 13:15 - 14:45 (2g.),Probability and Statistics,ćwiczenia,prof. dr hab. Andrzej Sokołowski,"Paw.A 07 lab. Win7, Office21"
39,2026-03-10,Wt 13:15 - 14:45 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
40,2026-03-10,Wt 15:00 - 16:30 (2g.),Discrete mathematics,wykład,dr Grzegorz Kosiorowski,Rakowicka 16 sala 11
41,2026-03-10,Wt 18:30 - 20:00 (2g.),Business Law,wykład,dr Jacek Lachner,Rakowicka 16 sala 11
42,2026-03-11,Śr 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
43,2026-03-12,Cz 08:00 - 09:30 (2g.),Operating Systems and Computer Networks,wykład,prof. UEK dr hab. Joanna Wyrobek,Paw.F 008
44,2026-03-12,Cz 09:45 - 11:15 (2g.),Information Systems,Przeniesienie zajęć,dr Agnieszka Niklewicz,
45,2026-03-12,Cz 09:45 - 11:15 (2g.),CS gr 1 Zajęcia przeniesione na 16.04.2026r.,CS gr 1 Zajęcia przeniesione na 16.04.2026r.,CS gr 1 Zajęcia przeniesione na 16.04.2026r.,CS gr 1 Zajęcia przeniesione na 16.04.2026r.
46,2026-03-12,Cz 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
47,2026-03-12,Cz 15:00 - 16:30 (2g.),Operating Systems and Computer Networks,ćwiczenia,prof. UEK dr hab. Joanna Wyrobek,"Paw.A 07 lab. Win7, Office21"
48,2026-03-12,Cz 15:00 - 16:30 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
49,2026-03-16,Pn 09:45 - 11:15 (2g.),Computer Programming 2,wykład,dr Katarzyna Wójcik,Paw.F 008
50,2026-03-16,Pn 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
51,2026-03-16,Pn 13:15 - 15:45 (3g.),Computer Programming 2,ćwiczenia,dr Katarzyna Wójcik,"Paw.A 013 lab. Win10, Office21"
52,2026-03-16,Pn 13:15 - 15:45 (3g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
53,2026-03-16,Pn 18:30 - 20:00 (2g.),,lektorat,,Wybierz swoją grupę językową
54,2026-03-17,Wt 09:45 - 11:15 (2g.),Probability and Statistics,wykład,prof. dr hab. Andrzej Sokołowski,Paw.F 008
55,2026-03-17,Wt 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
56,2026-03-17,Wt 15:00 - 16:30 (2g.),Information Systems,Przeniesienie zajęć,dr Agnieszka Niklewicz,
57,2026-03-17,Wt 15:00 - 16:30 (2g.),CS gr 1 Zajęcia przeniesione na 19.03.2026r.,CS gr 1 Zajęcia przeniesione na 19.03.2026r.,CS gr 1 Zajęcia przeniesione na 19.03.2026r.,CS gr 1 Zajęcia przeniesione na 19.03.2026r.
58,2026-03-17,Wt 18:30 - 20:00 (2g.),Business Law,wykład,dr Jacek Lachner,Rakowicka 16 sala 11
59,2026-03-18,Śr 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
60,2026-03-18,Śr 13:15 - 14:45 (2g.),Information Systems,wykład,prof. UEK dr hab. Mariusz Grabowski,Paw.F 008
61,2026-03-18,Śr 15:00 - 16:30 (2g.),Discrete mathematics,ćwiczenia,dr Igor Sikora,Paw.U sala N
62,2026-03-18,Śr 15:00 - 16:30 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
63,2026-03-19,Cz 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
64,2026-03-19,Cz 15:00 - 16:30 (2g.),Operating Systems and Computer Networks,ćwiczenia,prof. UEK dr hab. Joanna Wyrobek,"Paw.A 07 lab. Win7, Office21"
65,2026-03-19,Cz 15:00 - 16:30 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
66,2026-03-19,Cz 16:45 - 18:15 (2g.),Information Systems,ćwiczenia,mgr inż. Justyna Olczak,Bibl.425
67,2026-03-19,Cz 16:45 - 18:15 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
68,2026-03-23,Pn 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
69,2026-03-23,Pn 13:15 - 15:45 (3g.),Computer Programming 2,ćwiczenia,dr Katarzyna Wójcik,"Paw.A 013 lab. Win10, Office21"
70,2026-03-23,Pn 13:15 - 15:45 (3g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
71,2026-03-23,Pn 18:30 - 20:00 (2g.),,lektorat,,Wybierz swoją grupę językową
72,2026-03-24,Wt 09:45 - 11:15 (2g.),Probability and Statistics,wykład,prof. dr hab. Andrzej Sokołowski,Paw.F 008
73,2026-03-24,Wt 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
74,2026-03-24,Wt 13:15 - 14:45 (2g.),Probability and Statistics,ćwiczenia,prof. dr hab. Andrzej Sokołowski,"Paw.A 07 lab. Win7, Office21"
75,2026-03-24,Wt 13:15 - 14:45 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
76,2026-03-24,Wt 15:00 - 16:30 (2g.),Discrete mathematics,wykład,dr Grzegorz Kosiorowski,Rakowicka 16 sala 11
77,2026-03-24,Wt 18:30 - 20:00 (2g.),Business Law,wykład,dr Jacek Lachner,Rakowicka 16 sala 11
78,2026-03-25,Śr 09:45 - 13:00 (4g.),,rezerwacja,,
79,2026-03-25,Śr 09:45 - 13:00 (4g.),9.45 - 13.00 Dzień otwarty dla kandydatów na studia,9.45 - 13.00 Dzień otwarty dla kandydatów na studia,9.45 - 13.00 Dzień otwarty dla kandydatów na studia,9.45 - 13.00 Dzień otwarty dla kandydatów na studia
80,2026-03-25,Śr 15:00 - 16:30 (2g.),Discrete mathematics,ćwiczenia,dr Igor Sikora,Paw.U sala N
81,2026-03-25,Śr 15:00 - 16:30 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
82,2026-03-26,Cz 08:00 - 09:30 (2g.),Operating Systems and Computer Networks,wykład,prof. UEK dr hab. Joanna Wyrobek,Paw.F 008
83,2026-03-26,Cz 09:45 - 11:15 (2g.),Information Systems,Przeniesienie zajęć,dr Agnieszka Niklewicz,
84,2026-03-26,Cz 09:45 - 11:15 (2g.),CS gr 1 Zajęcia przeniesione na 14.05.2026r.,CS gr 1 Zajęcia przeniesione na 14.05.2026r.,CS gr 1 Zajęcia przeniesione na 14.05.2026r.,CS gr 1 Zajęcia przeniesione na 14.05.2026r.
85,2026-03-26,Cz 11:30 - 16:30 (6g.),,rezerwacja,,
86,2026-03-26,Cz 11:30 - 16:30 (6g.),11.30 - 16.30 Dzień otwarty dla kandydatów na studia,11.30 - 16.30 Dzień otwarty dla kandydatów na studia,11.30 - 16.30 Dzień otwarty dla kandydatów na studia,11.30 - 16.30 Dzień otwarty dla kandydatów na studia
87,2026-03-30,Pn 09:45 - 11:15 (2g.),Computer Programming 2,wykład,dr Katarzyna Wójcik,Paw.F 008
88,2026-03-30,Pn 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
89,2026-03-30,Pn 13:15 - 15:45 (3g.),Computer Programming 2,ćwiczenia,dr Katarzyna Wójcik,"Paw.A 013 lab. Win10, Office21"
90,2026-03-30,Pn 13:15 - 15:45 (3g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
91,2026-03-30,Pn 18:30 - 20:00 (2g.),,lektorat,,Wybierz swoją grupę językową
92,2026-03-31,Wt 09:45 - 11:15 (2g.),Probability and Statistics,wykład,prof. dr hab. Andrzej Sokołowski,Paw.F 008
93,2026-03-31,Wt 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
94,2026-03-31,Wt 18:30 - 20:00 (2g.),Business Law,wykład,dr Jacek Lachner,Rakowicka 16 sala 11
95,2026-04-01,Śr 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
96,2026-04-01,Śr 13:15 - 14:45 (2g.),Information Systems,wykład,prof. UEK dr hab. Mariusz Grabowski,Paw.F 008
97,2026-04-01,Śr 15:00 - 16:30 (2g.),Discrete mathematics,ćwiczenia,dr Igor Sikora,Paw.U sala N
98,2026-04-01,Śr 15:00 - 16:30 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
99,2026-04-08,Śr 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
100,2026-04-08,Śr 15:00 - 16:30 (2g.),Discrete mathematics,ćwiczenia,dr Igor Sikora,Paw.U sala N
101,2026-04-08,Śr 15:00 - 16:30 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
102,2026-04-09,Cz 08:00 - 09:30 (2g.),Operating Systems and Computer Networks,Przeniesienie zajęć,prof. UEK dr hab. Joanna Wyrobek,
103,2026-04-09,Cz 08:00 - 09:30 (2g.),na 16.04.,na 16.04.,na 16.04.,na 16.04.
104,2026-04-09,Cz 09:45 - 11:15 (2g.),Information Systems,Przeniesienie zajęć,dr Agnieszka Niklewicz,
105,2026-04-09,Cz 09:45 - 11:15 (2g.),CS gr 1 Zajęcia przeniesione na godz. 16:45,CS gr 1 Zajęcia przeniesione na godz. 16:45,CS gr 1 Zajęcia przeniesione na godz. 16:45,CS gr 1 Zajęcia przeniesione na godz. 16:45
106,2026-04-09,Cz 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
107,2026-04-09,Cz 15:00 - 16:30 (2g.),Operating Systems and Computer Networks,ćwiczenia,prof. UEK dr hab. Joanna Wyrobek,"Paw.A 07 lab. Win7, Office21"
108,2026-04-09,Cz 15:00 - 16:30 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
109,2026-04-09,Cz 16:45 - 18:15 (2g.),Information Systems,ćwiczenia,mgr inż. Justyna Olczak,Bibl.425
110,2026-04-09,Cz 16:45 - 18:15 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
111,2026-04-13,Pn 09:45 - 11:15 (2g.),Computer Programming 2,wykład,dr Katarzyna Wójcik,Paw.F 008
112,2026-04-13,Pn 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
113,2026-04-13,Pn 13:15 - 15:45 (3g.),Computer Programming 2,ćwiczenia,dr Katarzyna Wójcik,"Paw.A 013 lab. Win10, Office21"
114,2026-04-13,Pn 13:15 - 15:45 (3g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
115,2026-04-13,Pn 18:30 - 20:00 (2g.),,lektorat,,Wybierz swoją grupę językową
116,2026-04-14,Wt 09:45 - 11:15 (2g.),Probability and Statistics,Przeniesienie zajęć,prof. dr hab. Andrzej Sokołowski,
117,2026-04-14,Wt 09:45 - 11:15 (2g.),na 29.04.,na 29.04.,na 29.04.,na 29.04.
118,2026-04-14,Wt 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
119,2026-04-14,Wt 18:30 - 20:00 (2g.),Business Law,wykład,dr Jacek Lachner,Rakowicka 16 sala 11
120,2026-04-15,Śr 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
121,2026-04-15,Śr 13:15 - 14:45 (2g.),Information Systems,wykład,prof. UEK dr hab. Mariusz Grabowski,Paw.F 008
122,2026-04-15,Śr 15:00 - 16:30 (2g.),Discrete mathematics,ćwiczenia,dr Igor Sikora,Paw.U sala N
123,2026-04-15,Śr 15:00 - 16:30 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
124,2026-04-16,Cz 08:00 - 09:30 (2g.),Operating Systems and Computer Networks,wykład,prof. UEK dr hab. Joanna Wyrobek,Paw.F 106
125,2026-04-16,Cz 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
126,2026-04-16,Cz 15:00 - 16:30 (2g.),Operating Systems and Computer Networks,ćwiczenia,prof. UEK dr hab. Joanna Wyrobek,"Paw.A 07 lab. Win7, Office21"
127,2026-04-16,Cz 15:00 - 16:30 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
128,2026-04-16,Cz 16:45 - 18:15 (2g.),Information Systems,ćwiczenia,mgr inż. Justyna Olczak,Bibl.425
129,2026-04-16,Cz 16:45 - 18:15 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
130,2026-04-20,Pn 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
131,2026-04-20,Pn 13:15 - 15:45 (3g.),Computer Programming 2,ćwiczenia,dr Katarzyna Wójcik,"Paw.A 013 lab. Win10, Office21"
132,2026-04-20,Pn 13:15 - 15:45 (3g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
133,2026-04-20,Pn 18:30 - 20:00 (2g.),,lektorat,,Wybierz swoją grupę językową
134,2026-04-21,Wt 09:45 - 11:15 (2g.),Probability and Statistics,wykład,prof. dr hab. Andrzej Sokołowski,Paw.F 008
135,2026-04-21,Wt 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
136,2026-04-21,Wt 13:15 - 14:45 (2g.),Probability and Statistics,ćwiczenia,prof. dr hab. Andrzej Sokołowski,"Paw.A 07 lab. Win7, Office21"
137,2026-04-21,Wt 13:15 - 14:45 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
138,2026-04-21,Wt 15:00 - 16:30 (2g.),Discrete mathematics,wykład,dr Grzegorz Kosiorowski,Rakowicka 16 sala 11
139,2026-04-21,Wt 18:30 - 20:00 (2g.),Business Law,wykład,dr Jacek Lachner,Rakowicka 16 sala 11
140,2026-04-22,Śr 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
141,2026-04-22,Śr 15:00 - 16:30 (2g.),Discrete mathematics,ćwiczenia,dr Igor Sikora,Paw.U sala N
142,2026-04-22,Śr 15:00 - 16:30 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
143,2026-04-23,Cz 08:00 - 09:30 (2g.),Operating Systems and Computer Networks,wykład,prof. UEK dr hab. Joanna Wyrobek,Paw.F 008
144,2026-04-23,Cz 09:45 - 11:15 (2g.),Information Systems,Przeniesienie zajęć,dr Agnieszka Niklewicz,
145,2026-04-23,Cz 09:45 - 11:15 (2g.),CS gr 1 Zajęcia przeniesione na godz. 16:45,CS gr 1 Zajęcia przeniesione na godz. 16:45,CS gr 1 Zajęcia przeniesione na godz. 16:45,CS gr 1 Zajęcia przeniesione na godz. 16:45
146,2026-04-23,Cz 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
147,2026-04-23,Cz 15:00 - 16:30 (2g.),Operating Systems and Computer Networks,ćwiczenia,prof. UEK dr hab. Joanna Wyrobek,"Paw.A 07 lab. Win7, Office21"
148,2026-04-23,Cz 15:00 - 16:30 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
149,2026-04-23,Cz 16:45 - 18:15 (2g.),Information Systems,Przeniesienie zajęć,mgr inż. Justyna Olczak,
150,2026-04-27,Pn 09:45 - 11:15 (2g.),Computer Programming 2,Przeniesienie zajęć,dr Katarzyna Wójcik,
151,2026-04-27,Pn 09:45 - 11:15 (2g.),Zajęcia przeniesione na 04.05.2026r.,Zajęcia przeniesione na 04.05.2026r.,Zajęcia przeniesione na 04.05.2026r.,Zajęcia przeniesione na 04.05.2026r.
152,2026-04-27,Pn 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
153,2026-04-27,Pn 13:15 - 15:45 (3g.),Computer Programming 2,Przeniesienie zajęć,dr Katarzyna Wójcik,
